Id_Contact,Contact,Position
193,Mr Tim Barrows,Partner
194,Mr Jonathan Johnson,President
195,Mr Naval Ravikant,Founder
196,Mr Bill Miller,Founder
197,Mr Mark Yusko,CEO and Chief Investment Officer
198,Mr Toby Coppel,Co-Founder
199,Mr Chris Med,Co-Founder
200,Mr Kyle Samani,Managing Partner
201,Mr Usman Majeed,CEO
202,Mr Ian Worrall,Founder
203,Mr Stephane Ifrah,CEO
204,Ms Zoe Adamovicz,CEO
205,Mr Ari Nazir,CEO
206,Mr Omar Ulrich,Partner
207,Mr Du Jun,Founder
208,Mr Richard Craib,CEO
209,Dr Justin Chan,Portfolio Manager
210,Mr Jamie Burke,CEO and Founder
211,Mr Ryan Knott,CEO
212,Mr Dan Morehead,CEO and Chief Investment Officer
213,Mr Hamiz Mushtaq Awan,Managing Partner
214,Mr Pawel Chudzinski,Partner
215,Mr Chris Dover,Co-Founder
216,Mr Olaf Carlson-Wee,Founder
217,Mr Mikael Olofsson,Co-Founder
218,Mr Henry Brade,CEO
219,Mr Adam Grimsley,Co-Founder
220,Mr Erik Emmett,Managing Member
221,Mr Rick Marini Jr.,Founder
222,Mr Jeremy Boynton,General Partner
223,Mr Nav Chatterji,Founder
224,Mr Eric Ervin,CEO and President
225,Mr J. Robert Collins Jr.,CEO
226,Mr Greg King,President and CEO
227,Mr Vincent Lui,Founder
228,Mr Meyer Malka,Managing Partner
229,Mr Dave Lambert,Managing Director
230,Mr Tamer Hassanein,Managing Director
231,Mr Martin Lalonde,President
232,Mr Stuart Ellman,General Partner
233,Mr Matthew Slater,Founder
234,Mr Shawn Owen,CEO
235,Mr Konstantin Lomashuk,CEO
236,Mr Katsuya Kawashima,President
237,Mr Jordan Clifford,Co-Founder
238,Mr Alex Lazovsky,Managing Partner
239,Mr Michael Jones,CEO
240,Mr Bill Coughran,Partner
241,Mr Michael Paritee,Managing Member
242,Mr Lewis Barber,Co-Founder
243,Mr Bradley Chun,CEO
244,Mr Jose Suarez,Founder
245,Mr Adi Shelag,CEO
246,Mr David Gallancy,CEO
247,Mr Jason Fang,Managing Partner
248,Mr Jay McCarthy,Founder
249,Mr Carlos Domingo,Managing Partner
250,Mr Laurent Desserrey,Member
251,Mr Alexey Girin,Co-Founder
252,Mr John McCorvey,Director
253,Mr Ullas Naik,Founder
254,Mr Topher Conway,Managing Partner
255,Mr Charles Storry,Founder
256,Mr Andrew Lewin,CEO
257,Mr Nathan Doctor,Managing Member
258,Mr Christopher Beltran,Founder and Managing Partner
259,Mr Alexei Chekhlov,Co-Founder
260,Mr Rusian Gavrilyuk,Co-Founder and President
261,Mr Thomas Garrambone,Managing Member
262,Mr Ariel Schulz,Investor Relations
263,Mr Joseph Morris,Managing Member
264,Mr George Landegger,President
265,Mr German Kaplun,Founding Partner
266,Mr Christophe Roehri,Managing Director
267,Mr Anthony Coscio,Managing Partner
268,Mr Dustin Trammell,CEO
269,Mr Dusan Stojanovic,Founder
270,Mr James Koutoulas,CEO
271,Mr Brett Noyes,Founder and Director
272,Mr Michael Skok,Founder
273,Mr Brad Burnham,Partner
274,Mr Michael Soenen,Partner
275,Mr George K Van Hoomissen,CEO
276,Mr Egen Atkinson,Partner
277,Mr Boris Wertz,Founder
278,Mr Paulo Santos,Founder
279,Mr Stefan Qin,Founder
280,Mr Thomas Oehl,Managing Partner
281,Mr Stephen Diggle,Founder
282,Mr Evan Meador,Chief Operating Officer
283,Mr Tyler Winklevoss,Co-Founder
