Firm_Name,Address,Id_City
Starta Accelerator,"220 East 23rd Street, #500",5
Stonegate Digital Capital Group,"3333 Piedmont Road NE, Suite 2050",100
Streamlined Ventures,0,1
SV Angel,"588 Sutter Street, #299",4
SVK Crypto,125 Old Broad Street,14
Symmetry Fund,3 Edward Street,54
Synapse Capital,2443 Fillmore Street,4
Synchronicity,"199 Pierce St, Suite 204B",48
Syntrina Capital,"150 West Market Street, Suite 800",23
Systematic Alpha Management LLC,"152 W. 57th Street, Floor 10",5
TaaS Fund,"22 North Canal Road, Level 2",21
Tetras Capital,"34 Desbrosses Street, Apt. 915",5
The Cryptos Fund,Gotthardstrasse 26,28
The Ilios Group,141 W. Jackson Suite 1710A,6
The Whittemore Collection,"4 International Drive, Suite 300",111
Tident Crypto Fund,Dragonara Business Centre,112
TMT Investments,Queensway House,76
Tobam,"12 East 49th Street, Suite 3603",5
TokenStack Partners,"1064 Ponce de Leon, 5th Floor",104
Trammell Ventures,"6001 West Parmer Lane, Suite 370-151",69
True Global Ventures,0,21
Typhon Capital Management,"190 South La Salle Street, Suite 3000",6
Unbank Ventures,1355 Market Street,4
Underscore VC,"45 School Street, 2nd Floor",25
Union Square Ventures,"915 Broadway, 19th Floor",5
Valor Equity Partners,"875 North Michigan Avenue, Suite 3214",6
Vega Fund,0,5
Venrock,"34 Farnsworth Street, 3rd Floor",25
Version One Ventures,407-1250 Homer Street,2
VIP CryptoCurrency Hedge Fund,Rue Arsene Houssaye,82
Virgil Capital,0,4
Vito Ventures,Bavariaring 26,87
Vulpes Investment Management,One George Street,21
Walden Bridge Capital,1259 W. Madison Street,6
Winklevoss Capital,0,5
